person_id,family_name,given_name,note,end_date,honorific_prefix,start_date,additional_name,county,lordname,lordofname,name,lordofname_full,surname,organization_id,honorific_suffix,additional_names,additional__name
uk.org.publicwhip/person/10027,Barron,Kevin,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10028,Battle,John,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10029,Bayley,Hugh,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10030,Beard,Nigel,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10031,,,Alternate,,,,,,,,Magaret Beckett,,,,,,
uk.org.publicwhip/person/10031,Jackson,Margaret,Main,1979-04-07,Miss,1974-10-10,,,,,,,,,,,
uk.org.publicwhip/person/10031,Beckett,Margaret,Main,,,1983-06-09,,,,,,,,,,,
uk.org.publicwhip/person/10032,Begg,Anne,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10033,Beggs,Roy,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10034,,Alan James,Main,,Lord,2015-11-23,,the County of Northumberland,Beith,"",,Berwick-upon-Tweed,,,,,
uk.org.publicwhip/person/10034,,,Alternate,,,,,,,,Alan James Beith,,,,,,
uk.org.publicwhip/person/10034,Beith,Alan,Main,2015-11-22,,,,,,,,,,,,,
uk.org.publicwhip/person/10034,,,Alternate,,,,,,,,AJ Beith,,,,,,
uk.org.publicwhip/person/10034,,,Alternate,,,,,,,,A J Beith,,,,,,
uk.org.publicwhip/person/10035,Bell,Martin,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10036,Bell,Stuart,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10037,Benn,Tony,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10038,,,Alternate,,,,,,,,Andrew F Bennett,,,,,,
uk.org.publicwhip/person/10038,Bennett,Andrew,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10039,,,Alternate,,,,,,,,Joseph Benton,,,,,,
uk.org.publicwhip/person/10039,Benton,Joe,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10040,Bercow,John,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10041,Beresford,Paul,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10042,,,Alternate,,,,,,,,Gerald Bermingham,,,,,,
uk.org.publicwhip/person/10042,Bermingham,Gerry,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10043,Berry,Roger,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10044,Best,Harold,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10045,Betts,Clive,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10046,,,Alternate,,,,,,,,Elizabeth Blackman,,,,,,
uk.org.publicwhip/person/10046,Blackman,Liz,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10047,,,Alternate,2007-06-27,,1997-05-01,,,,,The Prime Minister,,,,,,
uk.org.publicwhip/person/10047,,,Alternate,,,,,,,,Anthony Blair,,,,,,
uk.org.publicwhip/person/10047,Blair,Tony,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10048,,,Alternate,2007-06-27,,2006-05-08,,,,,The Minister without Portfolio,,,,,,
uk.org.publicwhip/person/10048,Blears,Hazel,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10049,,,Alternate,,,,,,,,Robert Blizzard,,,,,,
uk.org.publicwhip/person/10049,Blizzard,Bob,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10050,Blunkett,David,Main,2015-10-12,,1987-06-11,,,,,,,,,,,
uk.org.publicwhip/person/10050,,David,Main,,Lord,2015-10-13,,the City of Sheffield,Blunkett,"",,Brightside and Hillsborough,,,,,
uk.org.publicwhip/person/10051,Blunt,Crispin,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10052,,Paul Yaw,Main,,Lord,2010-07-01,,the Republic of Ghana and of Wembley in the London Borough of Brent,Boateng,"",,Akyem,,,,,
uk.org.publicwhip/person/10052,Boateng,Paul,Main,2005-04-11,Mr,1987-06-11,,,,,,,,,,,
uk.org.publicwhip/person/10053,Body,Richard,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10054,Boothroyd,Betty,Main,2000-10-23,Miss,1973-05-24,,,,,,,,,,,
uk.org.publicwhip/person/10054,,Betty,Main,,Baroness,2001-01-16,,the County of West Midlands,Boothroyd,"",,Sandwell,,,,,
uk.org.publicwhip/person/10055,,,Alternate,,,,,,,,David S Borrow,,,,,,
uk.org.publicwhip/person/10055,Borrow,David,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10056,,,Alternate,,,,,,,,Timothy Boswell,,,,,,
uk.org.publicwhip/person/10056,Boswell,Tim,Main,2010-04-12,,1987-06-11,,,,,,,,,,,
uk.org.publicwhip/person/10056,,Timothy Eric,Main,,Lord,2010-07-19,,the County of Northamptonshire,Boswell,Aynho,,,,,,,
uk.org.publicwhip/person/10057,,,Alternate,,,,,,,,Peter Bottomlry,,,,,,
uk.org.publicwhip/person/10057,Bottomley,Peter,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10058,Bottomley,Virginia,Main,2005-04-11,Mrs,1984-05-03,,,,,,,,,,,
uk.org.publicwhip/person/10058,,Virginia,Main,,Baroness,2005-07-06,Virginia Hilda Brunette Maxwell,the County of Isle of Wight,Bottomley,Nettlestone,,St Helens,,,,,
uk.org.publicwhip/person/10059,,Keith,Main,,Lord,2006-07-18,Keith John Charles,the County of Greater Manchester,Bradley,"",,Withington,,,,,
uk.org.publicwhip/person/10059,Bradley,Keith,Main,2005-04-11,Mr,1987-06-11,,,,,,,,,,,
uk.org.publicwhip/person/10060,Bradley,Peter,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10061,Bradshaw,Ben,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10062,Brady,Graham,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10063,,,Alternate,,,,,,,,Thomas Brake,,,,,,
uk.org.publicwhip/person/10063,Brake,Tom,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10064,Brand,Peter,Main,,Dr,,,,,,,,,,,,
uk.org.publicwhip/person/10065,Brazier,Julian,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10066,Breed,Colin,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10067,Brooke,Peter,Main,2001-05-14,Mr,1977-02-25,,,,,,,,,,,
uk.org.publicwhip/person/10067,,Peter,Main,,Lord,2001-10-22,Peter Leonard,the County of Wiltshire,Brooke,Sutton Mandeville,,,,,,,
uk.org.publicwhip/person/10067,Brooks,,Alternate,,,,,,,,,,,,,,
uk.org.publicwhip/person/10068,,,Alternate,,,,,,,,G Brown,,,,,,
uk.org.publicwhip/person/10068,Brown,Gordon,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10068,,,Alternate,2010-04-18,,2007-06-28,,,,,The Prime Minister,,,,,,
uk.org.publicwhip/person/10069,Brown,Nick,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10069,,,Alternate,,,,,,,,Nicholas Brown,,,,,,
uk.org.publicwhip/person/10070,Brown,Russell,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10071,,,Alternate,,,,,,,,Desmond Brown,,,,,,
uk.org.publicwhip/person/10071,,,Alternate,,,,,,,,Desmond Browne,,,,,,
uk.org.publicwhip/person/10071,Browne,Des,Main,2010-04-12,,1997-05-01,,,,,,,,,,,
uk.org.publicwhip/person/10071,,Desmond Henry,Main,,Lord,2010-07-27,,Ayrshire and Arran,Browne,Ladyton,,,,,,,
uk.org.publicwhip/person/10072,Browning,Angela,Main,2010-04-12,,1992-04-09,,,,,,,,,,,
uk.org.publicwhip/person/10072,,Angela Frances,Main,,Baroness,2010-07-13,,the County of Devon,Browning,"",,Whimple,,,,,
uk.org.publicwhip/person/10073,Bruce,Ian,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10074,Bruce,Malcolm,Main,2015-11-18,,,,,,,,,,,,,
uk.org.publicwhip/person/10074,,Malcolm Gray,Main,,Lord,2015-11-19,,the County of Aberdeen,Bruce,Bennachie,,Torphins,,,,,
uk.org.publicwhip/person/10075,Buck,Karen,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10076,Burden,Richard,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10077,Burgon,Colin,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10078,Burnett,John,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10079,Burns,Simon,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10080,Burstow,Paul,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10081,Butler,Christine,Main,,Mrs,,,,,,,,,,,,
uk.org.publicwhip/person/10082,Butterfill,John,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10083,Byers,Stephen,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10084,,,Alternate,,,,,,,,Vince Cable,,,,,,
uk.org.publicwhip/person/10084,Cable,Vincent,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10085,Caborn,Richard,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10086,Campbell,Alan,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10087,Campbell,Anne,Main,,Mrs,,,,,,,,,,,,
uk.org.publicwhip/person/10088,Campbell,Menzies,Main,2015-11-04,,,,,,,,,,,,,
uk.org.publicwhip/person/10088,,Walter Menzies,Main,,Lord,2015-11-05,,the County of Fife,Campbell,Pittenweem,,,,,,,
uk.org.publicwhip/person/10089,,,Alternate,,,,,,,,Ronald Campbell,,,,,,
uk.org.publicwhip/person/10089,Campbell,Ronnie,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10090,,Dale,Main,,Lord,2001-07-19,Dale Norman,the County of Cumbria,Campbell-Savours,"",,Allerdale,,,,,
uk.org.publicwhip/person/10090,,,Alternate,,,,,,,,D N Campbell-Savours,,,,,,
uk.org.publicwhip/person/10090,Campbell-Savours,Dale,Main,2001-05-14,Mr,1979-05-03,,,,,,,,,,,
uk.org.publicwhip/person/10091,Canavan,Dennis,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10092,Cann,Jamie,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10093,Caplin,Ivor,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10094,Casale,Roger,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10095,,,Alternate,,,,,,,,Bill Cash,,,,,,
uk.org.publicwhip/person/10095,Cash,Bill,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10095,,,Alternate,,,,,,,,William Cash,,,,,,
uk.org.publicwhip/person/10096,Caton,Martin,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10097,Cawsey,Ian,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10098,Chapman,Ben,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10099,Chapman,Sydney,Main,,Sir,,,,,,,,,,,,
uk.org.publicwhip/person/10100,Chaytor,David,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10101,,David,Main,,Lord,2005-06-27,David William George,the County of Hampshire,Chidgey,"",,Hamble-le-Rice,,,,,
uk.org.publicwhip/person/10101,Chidgey,David,Main,2005-04-11,Mr,1994-06-09,,,,,,,,,,,
uk.org.publicwhip/person/10102,,,Alternate,,,,,,,,Malcolm Chisolm,,,,,,
uk.org.publicwhip/person/10102,Chisholm,Malcolm,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10103,Chope,Christopher,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10104,Church,Judith,Main,,Ms,,,,,,,,,,,,
uk.org.publicwhip/person/10105,,,Alternate,,,,,,,,Mick Clapham,,,,,,
uk.org.publicwhip/person/10105,Clapham,Michael,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10106,Clappison,James,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10107,Clark,Alan,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10108,Clark,David,Main,2001-05-14,Dr,1970-06-18,,,,,,,,,,,
uk.org.publicwhip/person/10108,,David,Main,,Lord,2001-07-02,David George,the County of Cumbria,Clark,Windermere,,,,,,,
uk.org.publicwhip/person/10109,Clark,Helen,Main,,Ms,,,,,,,,,,,,
uk.org.publicwhip/person/10109,,,Alternate,,,,,,,,Helen Brinton,,,,,,
uk.org.publicwhip/person/10109,,,Alternate,,,,,,,,Brinton,,,,,,
uk.org.publicwhip/person/10109,,,Alternate,,,,,,,,Helen Clarke,,,,,,
uk.org.publicwhip/person/10110,Clark,Lynda,Main,2005-04-11,Dr,1997-05-01,,,,,,,,,,,
uk.org.publicwhip/person/10110,,Lynda,Main,,Baroness,2005-07-13,Lynda Margaret,the City of Edinburgh,Clark,Calton,,,,,,,
uk.org.publicwhip/person/10111,Clark,Michael,Main,,Dr,,,,,,,,,,,,
uk.org.publicwhip/person/10112,Clark,Paul,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10113,Clarke,Charles,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10114,Clarke,Eric,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10115,,,Alternate,,,,,,,,Ken Clarke,,,,,,
uk.org.publicwhip/person/10115,Clarke,Kenneth,Main,2020-09-03,,,,,,,,,,,,,
uk.org.publicwhip/person/10115,,Kenneth,Main,,Lord,2020-09-04,,"",Clarke,Nottingham,,"",,,,,
uk.org.publicwhip/person/10116,,,Alternate,,,,,,,,Thomas Clarke,,,,,,
uk.org.publicwhip/person/10116,Clarke,Tom,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10117,Clarke,Tony,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10118,Clelland,David,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10119,,,Alternate,,,,,,,,G Clifton Brown,,,,,,
uk.org.publicwhip/person/10119,,,Alternate,,,,,,,,Geoffrey Clifton-brown,,,,,,
uk.org.publicwhip/person/10119,,,Alternate,,,,,,,,Geoffrey Clifton Brown,,,,,,
uk.org.publicwhip/person/10119,,,Alternate,,,,,,,,Geoffrey Clifton-Browne,,,,,,
uk.org.publicwhip/person/10119,Clifton-Brown,Geoffrey,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10120,,,Alternate,,,,,,,,Ann Clywd,,,,,,
uk.org.publicwhip/person/10120,Clwyd,Ann,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10121,Coaker,Vernon,Main,2021-02-02,,,,,,,,,,,,,
uk.org.publicwhip/person/10121,,Vernon,Main,,Lord,2021-02-03,,"",Coaker,"",,"",,,,,
uk.org.publicwhip/person/10122,Coffey,Ann,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10123,Cohen,Harry,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10124,Coleman,Iain,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10125,Collins,Tim,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10126,Colman,Tony,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10126,,,Alternate,,,,,,,,Anthony Colman,,,,,,
uk.org.publicwhip/person/10126,,,Alternate,,,,,,,,Anyhony Colman,,,,,,
uk.org.publicwhip/person/10127,Colvin,Michael,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10128,Connarty,Michael,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10129,,,Alternate,,,,,,,,Francis Cook,,,,,,
uk.org.publicwhip/person/10129,Cook,Frank,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10130,Cook,Robin,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10131,Cooper,Yvette,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10132,Corbett,Robin,Main,2001-05-14,Mr,1974-10-10,,,,,,,,,,,
uk.org.publicwhip/person/10132,,Robin,Main,2012-02-19,Lord,2001-07-17,,the County of West Midlands,Corbett,Castle Vale,,Erdington,,,,,
uk.org.publicwhip/person/10133,Corbyn,Jeremy,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10134,Cormack,Patrick,Main,2010-04-12,,1970-06-18,,,,,,,,,,,
uk.org.publicwhip/person/10134,,Patrick Thomas,Main,,Lord,2010-12-21,,the County of Staffordshire,Cormack,"",,Enville,,,,,
uk.org.publicwhip/person/10135,,Jean,Main,,Baroness,2005-07-20,Jean Ann,the County and City of Bristol,Corston,"",,St George,,,,,
uk.org.publicwhip/person/10135,Corston,Jean,Main,2005-04-11,Ms,1992-04-09,,,,,,,,,,,
uk.org.publicwhip/person/10136,,,Alternate,,,,,,,,Lord Cotter of Congresbury,,,,,,
uk.org.publicwhip/person/10136,Cotter,Brian,Main,2005-04-11,Mr,1997-05-01,,,,,,,,,,,
uk.org.publicwhip/person/10136,,Brian,Main,,Lord,2006-06-05,Brian Joseph Michael,the County of Somerset,Cotter,"",,Congresbury,,,,,
uk.org.publicwhip/person/10137,,,Alternate,,,,,,,,James Cousins,,,,,,
uk.org.publicwhip/person/10137,Cousins,Jim,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10138,,,Alternate,,,,,,,,Thomas Cox,,,,,,
uk.org.publicwhip/person/10138,Cox,Tom,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10139,Cran,James,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10140,Cranston,Ross,Main,,Professor,,,,,,,,,,,,
uk.org.publicwhip/person/10141,Crausby,David,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10142,Cryer,Ann,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10143,Cryer,John,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10144,Cummings,John,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10145,Cunliffe,Lawrence,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10146,,,Alternate,,,,,,,,John Cunningham,,,,,,
uk.org.publicwhip/person/10146,Cunningham,Jack,Main,2005-04-11,Dr,1970-06-18,,,,,,,,,,,
uk.org.publicwhip/person/10146,,Jack,Main,,Lord,2005-10-11,John Anderson,the County of Tyne and Wear,Cunningham,Felling,,,,,,,
uk.org.publicwhip/person/10147,,,Alternate,,,,,,,,James Cunningham,,,,,,
uk.org.publicwhip/person/10147,Cunningham,Jim,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10148,Cunningham,Roseanna,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10149,Currey,,Alternate,,,,,,,,,,,,,,
uk.org.publicwhip/person/10149,Curry,David,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10150,,,Alternate,,,,,,,,C Curtis Thomas,,,,,,
uk.org.publicwhip/person/10150,,,Alternate,,,,,,,,Clare Curtis-Thomas,,,,,,
uk.org.publicwhip/person/10150,Curtis-Thomas,Claire,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10151,Dafis,Cynog,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10152,Dalyell,Tam,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10153,,Alistair Maclean,Main,,Lord,2015-12-10,,Great Bernera in Ross and Cromarty,Darling,Roulanish,,,,,,,
uk.org.publicwhip/person/10153,Darling,Alistair,Main,2015-12-09,,,,,,,,,,,,,
uk.org.publicwhip/person/10154,Darvill,Keith,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10155,,,Alternate,,,,,,,,Ed Davey,,,,,,
uk.org.publicwhip/person/10155,Davey,Edward,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10156,,,Alternate,,,,,,,,Valery Davey,,,,,,
uk.org.publicwhip/person/10156,Davey,Valerie,Main,,Mrs,,,,,,,,,,,,
uk.org.publicwhip/person/10157,Davidson,Ian,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10158,Davies,Denzil,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10159,Davies,Geraint,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10160,Davies,Quentin,Main,2010-04-12,,1987-06-11,,,,,,,,,,,
uk.org.publicwhip/person/10160,,John Quentin,Main,,Lord,2010-07-08,,the County of Lincolnshire,Davies,Stamford,,,,,,,
uk.org.publicwhip/person/10161,Davies,Ron,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10162,Davis,David,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10163,Davis,Terry,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10164,Dawson,Hilton,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10165,Day,Stephen,Main,,Mr,,,,,,,,,,,,
uk.org.publicwhip/person/10166,,,Alternate,,,,,,,,Janet E A Dean,,,,,,
uk.org.publicwhip/person/10166,Dean,Janet,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10167,Denham,John,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10168,Dewar,Donald,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10169,Dismore,Andrew,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10170,,,Alternate,,,,,,,,James Dobbin,,,,,,
uk.org.publicwhip/person/10170,Dobbin,Jim,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10171,Dobson,Frank,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10172,,,Alternate,,,,,,,,Jeffery Donaldson,,,,,,
uk.org.publicwhip/person/10172,,,Alternate,,,,,,,,Jeffrey Donaldson,,,,,,
uk.org.publicwhip/person/10172,Donaldson,Jeffrey M.,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10172,,,Alternate,,,,,,,,Jeffrey M Donaldson,,,,,,
uk.org.publicwhip/person/10173,Donohoe,Brian H,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10173,,,Alternate,,,,,,,,Brian Donohue,,,,,,
uk.org.publicwhip/person/10174,Doran,Frank,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10175,Dorrell,Stephen,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10176,Dowd,Jim,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10177,Drew,David,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10178,Drown,Julia,Main,,Ms,,,,,,,,,,,,
uk.org.publicwhip/person/10179,Duncan,Alan,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10180,,,Alternate,,,,,,,,I Duncan Smith,,,,,,
uk.org.publicwhip/person/10180,,,Alternate,,,,,,,,Iain Duncan-Smith,,,,,,
uk.org.publicwhip/person/10180,Duncan Smith,Iain,Main,,,,,,,,,,,,,,
uk.org.publicwhip/person/10181,Dunwoody,Gwyneth,Main,,,,,,,,,,,,,,
