person_id,identifier,scheme
uk.org.publicwhip/person/10075,2358,pims_id
uk.org.publicwhip/person/10075,Q266238,wikidata
uk.org.publicwhip/person/10076,Q269868,wikidata
uk.org.publicwhip/person/10076,2370,pims_id
uk.org.publicwhip/person/10076,158,historichansard_person_id
uk.org.publicwhip/person/10076,301,datadotparl_id
uk.org.publicwhip/person/10076,3368,yournextmp
uk.org.publicwhip/person/10077,159,historichansard_person_id
uk.org.publicwhip/person/10077,Q337923,wikidata
uk.org.publicwhip/person/10078,160,historichansard_person_id
uk.org.publicwhip/person/10078,Q336866,wikidata
uk.org.publicwhip/person/10079,161,historichansard_person_id
uk.org.publicwhip/person/10079,46,datadotparl_id
uk.org.publicwhip/person/10079,2555,yournextmp
uk.org.publicwhip/person/10079,2380,pims_id
uk.org.publicwhip/person/10079,Q269940,wikidata
uk.org.publicwhip/person/10080,162,historichansard_person_id
uk.org.publicwhip/person/10080,204,datadotparl_id
uk.org.publicwhip/person/10080,Q269977,wikidata
uk.org.publicwhip/person/10081,163,historichansard_person_id
uk.org.publicwhip/person/10081,Q5110952,wikidata
uk.org.publicwhip/person/10082,164,historichansard_person_id
uk.org.publicwhip/person/10082,Q337532,wikidata
uk.org.publicwhip/person/10083,Q332837,wikidata
uk.org.publicwhip/person/10083,165,historichansard_person_id
uk.org.publicwhip/person/10084,166,historichansard_person_id
uk.org.publicwhip/person/10084,207,datadotparl_id
uk.org.publicwhip/person/10084,3652,yournextmp
uk.org.publicwhip/person/10084,2413,pims_id
uk.org.publicwhip/person/10084,Q244312,wikidata
uk.org.publicwhip/person/10085,167,historichansard_person_id
uk.org.publicwhip/person/10085,Q338166,wikidata
uk.org.publicwhip/person/10086,Q268196,wikidata
uk.org.publicwhip/person/10086,2445,pims_id
uk.org.publicwhip/person/10086,2910,yournextmp
uk.org.publicwhip/person/10086,168,historichansard_person_id
uk.org.publicwhip/person/10086,529,datadotparl_id
uk.org.publicwhip/person/10087,169,historichansard_person_id
uk.org.publicwhip/person/10087,Q4768207,wikidata
uk.org.publicwhip/person/10088,170,historichansard_person_id
uk.org.publicwhip/person/10088,627,datadotparl_id
uk.org.publicwhip/person/10088,2450,pims_id
uk.org.publicwhip/person/10088,Q248021,wikidata
uk.org.publicwhip/person/10089,Q269005,wikidata
uk.org.publicwhip/person/10089,2451,pims_id
uk.org.publicwhip/person/10089,514,datadotparl_id
uk.org.publicwhip/person/10089,171,historichansard_person_id
uk.org.publicwhip/person/10089,1185,yournextmp
uk.org.publicwhip/person/10090,172,historichansard_person_id
uk.org.publicwhip/person/10090,499,datadotparl_id
uk.org.publicwhip/person/10090,2453,pims_id
uk.org.publicwhip/person/10090,Q1157836,wikidata
uk.org.publicwhip/person/10091,173,historichansard_person_id
uk.org.publicwhip/person/10091,Q1189028,wikidata
uk.org.publicwhip/person/10092,174,historichansard_person_id
uk.org.publicwhip/person/10092,Q6146708,wikidata
uk.org.publicwhip/person/10093,175,historichansard_person_id
uk.org.publicwhip/person/10093,Q5602084,wikidata
uk.org.publicwhip/person/10094,176,historichansard_person_id
uk.org.publicwhip/person/10094,Q337958,wikidata
uk.org.publicwhip/person/10095,2512,pims_id
uk.org.publicwhip/person/10095,2603,yournextmp
uk.org.publicwhip/person/10095,Q269449,wikidata
uk.org.publicwhip/person/10095,177,historichansard_person_id
uk.org.publicwhip/person/10095,288,datadotparl_id
uk.org.publicwhip/person/10096,178,historichansard_person_id
uk.org.publicwhip/person/10096,566,datadotparl_id
uk.org.publicwhip/person/10096,Q269533,wikidata
uk.org.publicwhip/person/10097,179,historichansard_person_id
uk.org.publicwhip/person/10097,Q5605327,wikidata
